,geometry,zone_id,origin_count,destination_count
329,"POLYGON ((7.676771748759921 45.0548284796402, 7.683133725919914 45.0548284796402, 7.683133725919914 45.04846650248021, 7.676771748759921 45.04846650248021, 7.676771748759921 45.0548284796402))",329,1299.0,1306.0
245,"POLYGON ((7.657685817279942 45.0548284796402, 7.664047794439935 45.0548284796402, 7.664047794439935 45.04846650248021, 7.657685817279942 45.04846650248021, 7.657685817279942 45.0548284796402))",245,1536.0,1529.0
272,"POLYGON ((7.664047794439935 45.06119045680019, 7.670409771599928 45.06119045680019, 7.670409771599928 45.0548284796402, 7.664047794439935 45.0548284796402, 7.664047794439935 45.06119045680019))",272,1294.0,1297.0
325,"POLYGON ((7.676771748759921 45.08027638828016, 7.683133725919914 45.08027638828016, 7.683133725919914 45.07391441112017, 7.676771748759921 45.07391441112017, 7.676771748759921 45.08027638828016))",325,1333.0,1337.0
382,"POLYGON ((7.689495703079907 45.07391441112017, 7.6958576802399 45.07391441112017, 7.6958576802399 45.06755243396018, 7.689495703079907 45.06755243396018, 7.689495703079907 45.07391441112017))",382,1160.0,1156.0
241,"POLYGON ((7.657685817279942 45.08027638828016, 7.664047794439935 45.08027638828016, 7.664047794439935 45.07391441112017, 7.657685817279942 45.07391441112017, 7.657685817279942 45.08027638828016))",241,1135.0,1132.0
356,"POLYGON ((7.683133725919914 45.06119045680019, 7.689495703079907 45.06119045680019, 7.689495703079907 45.0548284796402, 7.683133725919914 45.0548284796402, 7.683133725919914 45.06119045680019))",356,1094.0,1097.0
300,"POLYGON ((7.670409771599928 45.06119045680019, 7.676771748759921 45.06119045680019, 7.676771748759921 45.0548284796402, 7.670409771599928 45.0548284796402, 7.670409771599928 45.06119045680019))",300,1121.0,1121.0
216,"POLYGON ((7.651323840119949 45.06119045680019, 7.657685817279942 45.06119045680019, 7.657685817279942 45.0548284796402, 7.651323840119949 45.0548284796402, 7.651323840119949 45.06119045680019))",216,1171.0,1163.0
410,"POLYGON ((7.6958576802399 45.07391441112017, 7.702219657399893 45.07391441112017, 7.702219657399893 45.06755243396018, 7.6958576802399 45.06755243396018, 7.6958576802399 45.07391441112017))",410,1084.0,1087.0
187,"POLYGON ((7.644961862959956 45.06755243396018, 7.651323840119949 45.06755243396018, 7.651323840119949 45.06119045680019, 7.644961862959956 45.06119045680019, 7.644961862959956 45.06755243396018))",187,1120.0,1121.0
302,"POLYGON ((7.670409771599928 45.04846650248021, 7.676771748759921 45.04846650248021, 7.676771748759921 45.04210452532022, 7.670409771599928 45.04210452532022, 7.670409771599928 45.04846650248021))",302,1052.0,1055.0
214,"POLYGON ((7.651323840119949 45.07391441112017, 7.657685817279942 45.07391441112017, 7.657685817279942 45.06755243396018, 7.651323840119949 45.06755243396018, 7.651323840119949 45.07391441112017))",214,1013.0,1011.0
411,"POLYGON ((7.6958576802399 45.06755243396018, 7.702219657399893 45.06755243396018, 7.702219657399893 45.06119045680019, 7.6958576802399 45.06119045680019, 7.6958576802399 45.06755243396018))",411,1028.0,1022.0
273,"POLYGON ((7.664047794439935 45.0548284796402, 7.670409771599928 45.0548284796402, 7.670409771599928 45.04846650248021, 7.664047794439935 45.04846650248021, 7.664047794439935 45.0548284796402))",273,1040.0,1047.0
