,start_time,end_time,duration,start_latitude,start_longitude,end_latitude,end_longitude,driving_distance,start_year,end_year,year,start_month,end_month,month,start_day,end_day,day,start_hour,end_hour,start_weekday,end_weekday,start_daytype,end_daytype,geometry,date,daytype,city,euclidean_distance,hour,random_seconds_start,random_seconds_end,random_seconds_pos,ia_timeout,avg_speed,avg_speed_kmh,origin_id,destination_id,origin_i,origin_j,destination_i,destination_j
32,2019-02-01 03:12:12.185690-05:00,2019-02-01 03:14:48.642155-05:00,156.456465,38.218,-85.763,38.216,-85.758,675.78,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.218, -85.758 38.216)",2019-02-01,weekday,Louisville,490.1674448338307,8,732.1856897683488,262.3601278481674,156.4564650186877,15.914136,4.319284600991081,15.549424563567891,166.0,183.0,6.0,10.0,7.0,11.0
35,2019-02-01 03:34:31.267871-05:00,2019-02-01 03:38:58.516485-05:00,267.248614,38.219,-85.757,38.221,-85.763,836.6800000000001,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.75700000000001 38.219, -85.76300000000001 38.221)",2019-02-01,weekday,Louisville,569.3825547471854,8,271.26787081476937,538.5164846222083,171.5794070381737,1339.082181,3.1307178266600855,11.270584175976309,83.0,82.0,3.0,5.0,2.0,5.0
38,2019-02-01 03:40:15.606150-05:00,2019-02-01 03:55:59.328276-05:00,943.722126,38.226,-85.759,38.22,-85.758,1255.02,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.759 38.226, -85.758 38.22)",2019-02-01,weekday,Louisville,672.8642047151327,8,-284.39385007637134,659.3282761904168,135.06016772008428,344.338279,1.329861794508779,4.787502460231605,82.0,99.0,2.0,5.0,3.0,6.0
39,2019-02-01 03:41:20.945608-05:00,2019-02-01 03:46:01.986502-05:00,281.040894,38.216,-85.758,38.212,-85.756,434.43,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.216, -85.756 38.212)",2019-02-01,weekday,Louisville,477.8709082993503,8,-219.05439165283917,61.98650165848653,32.65874350820987,65.339458,1.545789275777069,5.564841392797448,82.0,99.0,2.0,5.0,3.0,6.0
43,2019-02-01 03:48:02.754708-05:00,2019-02-01 04:11:19.440695-05:00,1396.685987,38.217,-85.758,38.219,-85.754,1078.03,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.217, -85.754 38.219)",2019-02-01,weekday,Louisville,414.2104438184863,9,-717.245291668204,679.4406954092024,1.4724760297375794,401.8091,0.7718485114292193,2.7786546411451893,99.0,99.0,3.0,6.0,3.0,6.0
37,2019-02-01 03:49:04.538931-05:00,2019-02-01 03:54:58.338898-05:00,353.799967,38.213,-85.761,38.219,-85.763,917.13,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.761 38.213, -85.76300000000001 38.219)",2019-02-01,weekday,Louisville,689.6703277622923,8,244.53893123411217,598.3388983021753,45.60593577626608,61.784223,2.592227488817149,9.332018959741736,82.0,99.0,2.0,5.0,3.0,6.0
41,2019-02-01 03:50:34.229701-05:00,2019-02-01 04:07:43.620240-05:00,1029.390539,38.214,-85.762,38.226,-85.761,1544.64,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.762 38.214, -85.761 38.226)",2019-02-01,weekday,Louisville,1337.195771801682,9,-565.7702989121381,463.62024002878366,39.231903259840486,89.69077,1.5005383685579028,5.40193812680845,91.0,90.0,11.0,5.0,10.0,5.0
36,2019-02-01 03:52:34.389385-05:00,2019-02-01 03:54:00.578834-05:00,86.189449,38.218,-85.763,38.221,-85.765,500.0,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.218, -85.765 38.221)",2019-02-01,weekday,Louisville,376.5711193700984,8,454.3893854174655,540.5788341024115,17.105177913226647,120.159684,5.801174108909781,20.884226792075214,100.0,83.0,4.0,6.0,3.0,5.0
40,2019-02-01 03:55:17.021945-05:00,2019-02-01 04:12:43.117005-05:00,1046.09506,38.22,-85.758,38.214,-85.762,836.6800000000001,2019,2019,2019,2,2,2,1,1,1,8,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.22, -85.762 38.214)",2019-02-01,weekday,Louisville,753.1478093332946,8,617.0219451830537,763.117005412631,260.42348229491864,162.63256,0.7998125906454429,2.8793253263235945,115.0,83.0,3.0,7.0,3.0,5.0
44,2019-02-01 04:06:36.326902-05:00,2019-02-01 04:26:18.435972-05:00,1182.10907,38.215,-85.754,38.203,-85.761,2413.5,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.754 38.215, -85.761 38.203)",2019-02-01,weekday,Louisville,1467.8298919334252,9,-503.6730976018745,678.4359724410992,265.1808620924055,679.304957,2.0416897740239826,7.350083186486337,83.0,83.0,3.0,5.0,3.0,5.0
